X;Stønadstype;Stønadsnavn;Kravtype;Ekstern kravkode (Nav);Antall enheter;SKE prod;Nav;Etableres i INNFRI;Aktive saker i PAK;Oppdragsgiver;Kilde;KT
124;PE UT;Uføretrygd;Tilbakekreving av feilutbetalt uføretrygd;TILBAKEKREVING_UFOERETRYGD;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt uføretrygd
125;PE UT;Uføretrygd;Tilbakekreving av for mye utbetalt uføretrygd - etteroppgjør;TILBAKEKREVING_UFOERETRYGD_ETTEROPPGJOER;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av for mye utbetalt uføretrygd - etteroppgjør
126;PE UT;Uføretrygd;Tilbakekreving av feilutbetalt uføretrygd-avregning;TILBAKEKREVING_UFOERETRYGD_AVREGNING;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt uføretrygd-avregning
127;HJ M2;Stønad til motorkjøretøy gr 2;Tilbakekreving av stønad til motorkjøretøy gruppe 2;TILBAKEKREVING_STOENAD_MOTORKJOERETOEY_GR2;13;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av stønad til motorkjøretøy gruppe 2
128;HJ MT;Stønad til motorkjøretøy;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Stønad til motorkjøretøy
129;HT M1;Tilskudd bil gr 1;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Tilskudd bil gr 1
130;HJ M2;Stønad til motorkjøretøy gr 2;Tilbakekreving av stønad til motorkjøretøy gruppe 2, uten gjeldsbrev;0;0;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av stønad til motorkjøretøy gruppe 2, uten gjeldsbrev
131;HJ M1;Tilskudd bil gr 1;Tilbakekreving av stønad til motorkjøretøy gruppe 1;TILBAKEKREVING_STOENAD_MOTORKJOERETOEY_GR1;13;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av stønad til motorkjøretøy gruppe 1
132;HJ MP;Mopedbil;Tilbakekreving av stønad til mopedbil;TILBAKEKREVING_STOENAD_MOPEDBIL;13;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av stønad til mopedbil
133;HJ MU;Spesialutstyr bil;Tilbakekreving av stønad til spesialutstyr til bil;TILBAKEKREVING_STOENAD_SPESIALUTSTYR_BIL;13;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av stønad til spesialutstyr til bil
134;PE YS;Yrkesskade gml lov;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Yrkesskade gml lov
135;YS RE;Renter yrkesskade;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Renter yrkesskade
136;YS TY;Tannbehandling yrkesskade;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Tannbehandling yrkesskade
137;YS YE;Yrkesskadeerstatning;Tilbakekreving av feilutbetalt menerstatning ved yrkesskade;TILBAKEKREVING_MENERSTATNING_YRKESSKADE;3;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av feilutbetalt menerstatning ved yrkesskade
138;YS YF;Refusjon yrkesskade;Krav om refusjon av trygdeutgifter ved yrkesskade;REFUSJON_TRYGDEUTGIFTER_YRKESSKADE;0;15.04.2026?;Manuell;Ja;Nei;Nav;Manuelt i PAK;Krav om refusjon av trygdeutgifter ved yrkesskade
139;YS YS;Yrkessykdom;Tilbakekreving av feilutbetalt menerstatning ved yrkessykdom ;TILBAKEKREVING_MENERSTATNING_YRKESSYKDOM;3;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av feilutbetalt menerstatning ved yrkessykdom 
140;PE GY;Gammel yrkesskade;Tilbakebetaling av gammel yrkesskadepensjon;TILBAKEKREVING_GAMMEL_YRKESSKADEPENSJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakebetaling av gammel yrkesskadepensjon
